"Date","Price(cent/KWh)"
2016-01-01,8.38
2016-02-01,8.36
2016-03-01,8.23
2016-04-01,8.13
2016-05-01,8.26
2016-06-01,8.54
2016-07-01,8.65
2016-08-01,8.65
2016-09-01,8.7
2016-10-01,8.42
2016-11-01,8.25
2016-12-01,8.23
2017-01-01,8.32
2017-02-01,8.33
2017-03-01,8.14
2017-04-01,8.25
2017-05-01,8.33
2017-06-01,8.55
2017-07-01,8.62
2017-08-01,8.6
2017-09-01,8.57
2017-10-01,8.35
2017-11-01,8.17
2017-12-01,8.07
2018-01-01,8.49
2018-02-01,8.46
2018-03-01,8.23
2018-04-01,8.13
2018-05-01,8.38
2018-06-01,8.77
2018-07-01,8.82
2018-08-01,8.82
2018-09-01,8.58
2018-10-01,8.36
2018-11-01,8.35
2018-12-01,8.03
2019-01-01,8.37
2019-02-01,8.34
2019-03-01,8.34
2019-04-01,8.16
2019-05-01,8.29
2019-06-01,8.47
2019-07-01,8.65
2019-08-01,9.45
2019-09-01,9.09
2019-10-01,8.66
2019-11-01,8.52
2019-12-01,8.28
2020-01-01,8.11
2020-02-01,8.33
2020-03-01,8.17
2020-04-01,8.23
2020-05-01,8.33
2020-06-01,8.58
2020-07-01,8.62
2020-08-01,8.75
2020-09-01,8.68
2020-10-01,8.17
2020-11-01,8.07
2020-12-01,8.03
2021-01-01,8.15
2021-02-01,12.58
2021-03-01,10.44
2021-04-01,9.48
2021-05-01,8.35
2021-06-01,8.53
2021-07-01,8.62
2021-08-01,8.99
2021-09-01,9.11
2021-10-01,8.9
2021-11-01,8.86
2021-12-01,8.51
2022-01-01,8.8
2022-02-01,9.21
2022-03-01,9.18
2022-04-01,9.25
2022-05-01,10.22
2022-06-01,10.53
2022-07-01,11.19
2022-08-01,11.01
2022-09-01,10.91
2022-10-01,10.4
2022-11-01,9.98
2022-12-01,10.2
2023-01-01,10.03
2023-02-01,10.05
2023-03-01,9.55
2023-04-01,8.94
2023-05-01,9.43
2023-06-01,10.09
2023-07-01,10.25
2023-08-01,11.42
2023-09-01,10.91
2023-10-01,9.93
2023-11-01,9.38
2023-12-01,9.37
